Model,Row,Col,Angle,Force,Success
LSTM (Visible),0,1,0,5.0,0
LSTM (Visible),0,1,0,5.0,0
LSTM (Visible),0,1,0,5.0,0
LSTM (Visible),0,1,0,5.0,0
LSTM (Visible),0,1,0,5.0,0
LSTM (Visible),0,1,0,5.0,0
LSTM (Visible),0,1,0,5.0,0
LSTM (Visible),0,1,0,5.0,0
LSTM (Visible),0,1,0,5.0,0
LSTM (Visible),0,1,0,5.0,0
LSTM (Visible),0,1,0,10.0,0
LSTM (Visible),0,1,0,10.0,0
LSTM (Visible),0,1,0,10.0,0
LSTM (Visible),0,1,0,10.0,0
LSTM (Visible),0,1,0,10.0,0
LSTM (Visible),0,1,0,10.0,0
LSTM (Visible),0,1,0,10.0,0
LSTM (Visible),0,1,0,10.0,0
LSTM (Visible),0,1,0,10.0,0
LSTM (Visible),0,1,0,10.0,0
LSTM (Visible),0,1,0,15.0,0
LSTM (Visible),0,1,0,15.0,0
LSTM (Visible),0,1,0,15.0,0
LSTM (Visible),0,1,0,15.0,0
LSTM (Visible),0,1,0,15.0,0
LSTM (Visible),0,1,0,15.0,0
LSTM (Visible),0,1,0,15.0,0
LSTM (Visible),0,1,0,15.0,0
LSTM (Visible),0,1,0,15.0,0
LSTM (Visible),0,1,0,15.0,0
LSTM (Visible),0,1,45,0.0,0
LSTM (Visible),0,1,45,0.0,0
LSTM (Visible),0,1,45,0.0,1
LSTM (Visible),0,1,45,0.0,1
LSTM (Visible),0,1,45,0.0,0
LSTM (Visible),0,1,45,0.0,1
LSTM (Visible),0,1,45,0.0,0
LSTM (Visible),0,1,45,0.0,1
LSTM (Visible),0,1,45,0.0,1
LSTM (Visible),0,1,45,0.0,1
LSTM (Visible),0,1,45,5.0,1
LSTM (Visible),0,1,45,5.0,1
LSTM (Visible),0,1,45,5.0,1
LSTM (Visible),0,1,45,5.0,0
LSTM (Visible),0,1,45,5.0,1
LSTM (Visible),0,1,45,5.0,1
LSTM (Visible),0,1,45,5.0,0
LSTM (Visible),0,1,45,5.0,0
LSTM (Visible),0,1,45,5.0,1
LSTM (Visible),0,1,45,5.0,1
LSTM (Visible),0,1,45,10.0,0
LSTM (Visible),0,1,45,10.0,0
LSTM (Visible),0,1,45,10.0,0
LSTM (Visible),0,1,45,10.0,0
LSTM (Visible),0,1,45,10.0,0
LSTM (Visible),0,1,45,10.0,0
LSTM (Visible),0,1,45,10.0,0
LSTM (Visible),0,1,45,10.0,0
LSTM (Visible),0,1,45,10.0,0
LSTM (Visible),0,1,45,10.0,0
LSTM (Visible),0,1,45,15.0,0
LSTM (Visible),0,1,45,15.0,0
LSTM (Visible),0,1,45,15.0,0
LSTM (Visible),0,1,45,15.0,0
LSTM (Visible),0,1,45,15.0,0
LSTM (Visible),0,1,45,15.0,0
LSTM (Visible),0,1,45,15.0,0
LSTM (Visible),0,1,45,15.0,0
LSTM (Visible),0,1,45,15.0,0
LSTM (Visible),0,1,45,15.0,0
LSTM (Visible),0,1,90,0.0,1
LSTM (Visible),0,1,90,0.0,0
