rollout/ep_len_mean,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/episodes,train/n_updates,train/critic_loss,train/learning_rate,train/ent_coef_loss,train/actor_loss,train/ent_coef,robustness/avg_impact_vel,robustness/cvar_5_percent
735.0,857,103580,120,-93.10014591,268,6400,10.98212971687317,0.0003,-2.502051923274994,5.137857303619385,0.1792387229204178,0.08656913,-326.9943502
764.73,821,107580,131,-90.46104641999999,272,6650,11.620836172103882,0.0003,-2.688028190135956,5.007007224559784,0.16761052429676057,0.07870409,-326.9943502
796.06,806,111580,138,-85.99000896999998,276,6900,9.580923542976379,0.0003,-2.685465569496155,4.577474148273468,0.15660827934741975,0.072252676,-326.9943502
823.78,797,115580,145,-80.26227094999999,280,7150,7.373092756271363,0.0003,-2.755412707328796,3.551963175535202,0.14604554682970047,0.07127916,-326.9943502
851.2,787,119580,151,-74.04796968000001,284,7400,4.989579033851624,0.0003,-2.815860915184021,3.198474894762039,0.1362064754962921,0.06326788,-326.9943502
878.59,782,123580,157,-68.98129603000001,288,7650,5.869892416000366,0.0003,-2.963944101333618,3.0361017817258835,0.1271860519051552,0.060312737,-326.9943502
902.18,776,127580,164,-61.95352655,292,7900,3.2528865575790404,0.0003,-2.985761032104492,2.410010557770729,0.11852638363838196,0.058935896,-326.9943502
916.15,780,131580,168,-56.83358471,296,8150,5.229532220363617,0.0003,-3.076176862716675,2.240764071941376,0.11047797411680221,0.05272602,-326.9943502
935.64,787,135580,172,-46.357213759999986,300,8400,2.5477191686630247,0.0003,-3.210081706047058,1.3079725295305251,0.10271530628204345,0.049485587,-317.78701880000006
952.17,795,139580,175,-44.95725574,304,8650,3.4592419505119323,0.0003,-3.1091074323654175,0.6094150675833225,0.09561990812420845,0.047684103,-236.39068180000004
966.74,794,143580,180,-36.83068378,308,8900,2.200209367275238,0.0003,-3.3161687421798707,0.7440319639444352,0.08896738514304162,0.043416902,-236.39068180000004
968.8,792,147580,186,-33.49869891,312,9150,1.9486343955993652,0.0003,-3.5690130758285523,0.2911804200708866,0.08254321739077568,0.042363945,-170.2294416
962.19,824,150408,0,-25.480342970000002,316,9350,1.930185422897339,0.0003,-3.575727691650391,0.5478930932283401,0.07777641668915748,0.039669603,-154.30032939999998
932.73,3138,150684,0,-27.153375150000002,320,,,,,,,,
895.61,3464,150920,0,-52.96864002,324,,,,,,,,
864.55,1168,151236,0,-77.96323542,328,9400,19.16359896183014,0.0003,-3.4839736080169676,1.421969956457615,0.07666001692414284,,
828.56,1416,151504,0,-87.26483341000001,332,,,,,,,,
791.51,1595,151776,0,-89.88813289,336,,,,,,,,
758.24,1239,152140,1,-91.82031680999998,340,9450,9.770094347000121,0.0003,-3.6062677097320557,1.811355375647545,0.0755749562382698,0.13927113,-751.7299
722.02,1410,152500,1,-101.91275599000002,344,,,,,,,,
679.9,1208,152848,2,-112.18025938,348,9500,5.086834828853608,0.0003,-3.3725307035446166,2.5559439615905286,0.07451122134923935,,
653.6,1307,153140,2,-113.41342773000002,352,,,,,,,,
618.13,1398,153424,2,-112.64276440999998,356,,,,,,,,
582.36,1237,153728,2,-112.58236116,360,9550,9.307962293624877,0.0003,-3.4712873029708864,2.4189940547943114,0.07349809423089028,,
546.6,1340,154140,2,-112.72406456000003,364,,,,,,,,
511.73,1234,154520,3,-114.15070343999997,368,9600,6.705874185562134,0.0003,-3.45919020652771,2.8139548033475874,0.07248264402151108,,
475.07,1299,154840,3,-117.03721834999999,372,,,,,,,,
438.36,1359,155152,3,-118.95307622000001,376,,,,,,,,
401.64,1242,155488,4,-121.73223426999999,380,9650,19.173923716545104,0.0003,-3.270847339630127,3.573232846260071,0.07149198397994042,,
364.85,1301,155852,4,-124.56813072000003,384,,,,,,,,
328.4,1222,156184,4,-126.85676444,388,9700,17.10480551958084,0.0003,-3.483279809951782,3.4104248481988906,0.07053628981113434,0.32472244,-751.7299
291.78,1265,156488,4,-129.21303948000002,392,,,,,,,,
255.22,1204,156864,5,-131.36201927000005,396,9750,15.065774643421173,0.0003,-3.417136993408203,4.366307671070099,0.06958819568157196,,
218.59,1245,157188,5,-133.48442874,400,,,,,,,,
181.71,1285,157520,5,-133.05944804,404,,,,,,,,
145.16,1225,157852,6,-133.90545084000001,408,9800,8.780873138904571,0.0003,-3.36968252658844,3.7769646775722503,0.06861136928200721,,
108.99,1270,158252,6,-133.90111623,412,,,,,,,,
81.84,1220,158604,6,-140.23922131,416,9850,15.881381373405457,0.0003,-3.3505185651779175,4.293322501182556,0.0676992230117321,,
82.61,1258,158976,6,-138.71520460000002,420,,,,,,,,
83.3,1211,159320,7,-114.83761352000003,424,9900,14.887275085449218,0.0003,-3.4354078578948974,4.059212052226067,0.066785339564085,,
84.01,1250,159748,7,-88.86832758999999,428,,,,,,,,
85.12,1206,160092,8,-79.55700323,432,9950,8.75127972126007,0.0003,-3.191507968902588,5.058387551307678,0.06590779572725296,0.42523658,-276.2116318
85.97,1242,160508,8,-77.99416029000001,436,,,,,,,,
86.48,1177,160844,8,-76.32676842,440,10000,10.005256810188293,0.0003,-3.1311438941955565,5.199881757497788,0.06507892295718193,,
86.77,1174,161216,9,-67.04624581000002,444,,,,,,,,
87.31,1114,161604,10,-59.66415880000002,448,10050,14.954201316833496,0.0003,-3.370041403770447,5.393144707679749,0.06424255028367043,,
89.06,1117,162068,10,-55.23661575999999,452,,,,,,,,
90.36,1056,162512,11,-54.789721580000005,456,10100,22.33083468914032,0.0003,-3.313937211036682,6.16034250497818,0.06340018466114998,,
91.45,1057,162932,11,-53.14533987,460,,,,,,,,
92.79,1011,163364,12,-50.95318845,464,10150,4.679318113327026,0.0003,-3.3496899509429934,6.038049287796021,0.06254923835396767,,
94.2,1020,163872,13,-48.53401948999999,468,,,,,,,,
95.56,973,164296,14,-46.23121912,472,10200,15.105460071563721,0.0003,-3.404433090686798,6.3180042219161985,0.06169080212712288,0.39941275,-113.5954696
96.71,981,164736,14,-44.50483663,476,,,,,,,,
98.14,949,165224,15,-41.45910518000001,480,10250,9.599845156669616,0.0003,-3.4221724033355714,6.886049251556397,0.06086290799081326,,
99.69,923,165764,16,-37.92182456999999,484,10300,9.342770500183105,0.0003,-3.3049902009963987,6.139494203329086,0.06005613431334496,,
101.82,934,166400,17,-36.70838395,488,,,,,,,,
104.71,906,167040,18,-33.951749289999995,492,10350,9.674166288375854,0.0003,-3.229892821311951,6.6412290620803835,0.05927153743803501,,
106.73,881,167636,19,-31.666207769999993,496,10400,7.878717825412751,0.0003,-3.1818107032775877,6.796995582580567,0.05850026935338974,,
108.94,859,168124,20,-29.262169659999994,500,10450,3.8186696910858156,0.0003,-3.164729104042053,6.876697385311127,0.057766656875610355,0.31726405,-93.5356358
110.48,866,168660,21,-28.8066571,504,,,,,,,,
112.47,850,169200,22,-27.61990711,508,10500,7.419751513004303,0.0003,-3.112153425216675,7.686778874397278,0.057034158632159236,,
114.76,835,169828,23,-27.18482129,512,10550,6.885170164108277,0.0003,-3.1613799428939817,7.623998746871949,0.05631822697818279,,
116.54,839,170320,23,-26.163190169999996,516,,,,,,,,
118.97,828,170892,24,-24.7927878,520,10600,6.4793475103378295,0.0003,-3.161726861000061,7.931154880523682,0.05560156591236591,,
121.59,818,171472,25,-24.29109595,524,10650,12.061550760269165,0.0003,-2.9865497398376464,7.902288846969604,0.05490503378212452,,
122.81,804,172012,26,-22.872167949999998,528,10700,14.523345909118653,0.0003,-2.9848131370544433,8.828671083450317,0.05424570694565773,0.25450966,-84.144562
124.87,810,172600,27,-23.304720300000003,532,,,,,,,,
126.94,796,173108,28,-21.48326118,536,10750,9.067936491966247,0.0003,-3.1132412576675415,9.159606761932373,0.05357364803552628,,
129.75,782,173732,29,-19.78409569,540,10800,9.349067239761352,0.0003,-3.045742378234863,8.863948793411256,0.05289942428469658,,
130.03,787,174232,30,-20.525405980000002,544,,,,,,,,
132.36,782,175000,31,-20.07822547,548,10850,4.9225171947479245,0.0003,-2.8404360103607176,9.57816939353943,0.05225774504244327,,
135.24,775,175636,32,-19.39921365,552,10900,7.149342613220215,0.0003,-2.923194236755371,10.038900785446167,0.05164445877075195,,
136.78,767,176164,33,-19.23923193,556,10950,9.745174207687377,0.0003,-2.7058704257011414,10.895638256072997,0.05103540807962417,0.18362387,-72.8247306
138.5,763,177084,34,-20.69750698,560,11000,6.862827501296997,0.0003,-2.7787997174263,10.834568109512329,0.050447957143187526,,
143.77,761,177952,36,-19.88593831,564,11050,6.783306784629822,0.0003,-2.801553373336792,10.9254714012146,0.049867499172687534,,
145.93,755,179156,38,-20.792896459999998,568,11100,15.160853505134583,0.0003,-2.880706775188446,11.509460210800171,0.049279972165822986,,
154.63,738,180340,40,-14.583697350000001,572,11200,7.212365379333496,0.0003,-2.580834426879883,11.885984735488892,0.048146180510520935,0.15272027,-85.64986719999999
161.47,735,181208,41,-10.8945747,576,11250,16.163532309532165,0.0003,-2.6611684370040893,12.743673305511475,0.04760246947407722,,
164.99,729,182308,43,-12.85755843,580,11300,5.522011823654175,0.0003,-2.3635474038124085,12.633351135253907,0.04709338016808033,,
173.94,721,183520,45,-8.619235210000001,584,11400,8.549892883300782,0.0003,-2.7496332693099976,13.549150695800781,0.04605068057775497,,
175.93,717,184120,47,-9.73407088,588,11450,9.941875376701354,0.0003,-2.298134613037109,13.381805896759033,0.045516928434371946,0.12308284,-99.6729894
177.27,714,185004,48,-10.299668480000001,592,11500,11.889389071464539,0.0003,-2.264622356891632,13.492250671386719,0.04504712216556072,,
185.31,707,186312,50,-9.537503899999999,596,11550,13.081301894187927,0.0003,-2.5009803628921508,13.793922500610352,0.044572902694344524,,
190.13,688,187316,53,-13.059092900000001,600,11650,7.102287735939026,0.0003,-2.3116393804550173,14.517691974639893,0.04358526729047298,,
193.25,678,188028,55,-13.98916702,604,11700,13.268491468429566,0.0003,-2.6580039620399476,14.10286901473999,0.04310072511434555,0.109822,-136.9681482
195.15,670,188816,57,-16.63985681,608,11750,19.21915774822235,0.0003,-2.391569278240204,14.859705791473388,0.04259113125503063,,
195.04,670,189376,58,-19.330049829999997,612,,,,,,,,
195.59,671,190200,59,-20.80858463,616,11800,8.760874075889587,0.0003,-2.2356879186630247,14.963028755187988,0.042143885865807536,,
198.77,669,190788,60,-22.307153200000005,620,11850,7.875612206459046,0.0003,-2.024883155822754,15.278198547363282,0.04171173937618732,,
203.92,664,192424,63,-24.79333861,624,11950,9.631697211265564,0.0003,-1.9041504287719726,15.310985813140869,0.040884681046009064,0.10411147,-145.502623
212.88,661,193916,65,-25.54478043,628,12050,9.30929407119751,0.0003,-1.7106561928987503,15.479041900634765,0.040133159905672074,,
228.38,659,196168,69,-24.678242039999997,632,12200,5.823296523094177,0.0003,-1.9011798214912414,16.420824489593507,0.03907335728406906,0.09426866,-145.502623
245.28,660,198616,72,-24.612624029999996,636,12350,8.012767734527587,0.0003,-1.3226512503623962,17.20796257019043,0.038049346432089806,,
255.33,660,199640,74,-19.167945399999997,640,12400,15.001236944198608,0.0003,-1.9575909340381623,17.58252544403076,0.037729721143841745,,
